SUB_CRITERIO;CRITERIO;FECHA_INMUNIZACION;1aDOSIS1;2aDOSIS1;ÚnicaDOSIS;Refuerzo_DOSIS;4aDOSIS
Adm. apoyo no clinico FFAA y de orden;Personal de salud;;;;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/02/2021;1;;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;08/03/2021;;1;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/04/2021;4;;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;19/05/2021;;4;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;13/09/2021;1;;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;16/09/2021;;;;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;12/10/2021;;1;;;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;02/11/2021;;;;3;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;04/02/2022;;;;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;04/05/2022;;;;;1
Adm. apoyo no clinico FFAA y de orden;Personal de salud;12/05/2022;;;;;1
Adm. apoyo no clinico FFAA y de orden;Personal de salud;07/06/2022;;;;1;
Adm. apoyo no clinico FFAA y de orden;Personal de salud;09/06/2022;;;;;1
Adm. apoyo no clinico FFAA y de orden;Personal de salud;25/07/2022;;;;;1
Administración del Estado;Personas Servicios esenciales del estado;;;;;;
Administración del Estado;Personas Servicios esenciales del estado;08/02/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;10/02/2021;2;;;;
Administración del Estado;Personas Servicios esenciales del estado;11/02/2021;2;;;;
Administración del Estado;Personas Servicios esenciales del estado;15/02/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;10/03/2021;;2;;;
Administración del Estado;Personas Servicios esenciales del estado;11/03/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;12/03/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;17/03/2021;2;;;;
Administración del Estado;Personas Servicios esenciales del estado;19/03/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;22/03/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;26/03/2021;3;;;;
Administración del Estado;Personas Servicios esenciales del estado;06/04/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;08/04/2021;1;;;;
Administración del Estado;Personas Servicios esenciales del estado;09/04/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;14/04/2021;;2;;;
Administración del Estado;Personas Servicios esenciales del estado;19/04/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;22/04/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;26/04/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;28/04/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;04/05/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;06/05/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;20/05/2021;3;;;;
Administración del Estado;Personas Servicios esenciales del estado;31/05/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;18/06/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;24/06/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;30/06/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;07/07/2021;;1;;;
Administración del Estado;Personas Servicios esenciales del estado;16/09/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;20/10/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;26/10/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;29/10/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;05/11/2021;;;;2;
Administración del Estado;Personas Servicios esenciales del estado;19/11/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;26/11/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;02/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;03/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;10/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;15/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;18/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;22/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;28/12/2021;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;07/01/2022;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;13/01/2022;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;27/01/2022;;;;1;
Administración del Estado;Personas Servicios esenciales del estado;18/03/2022;;;;;1
