fecha_primeros_sintomas;region;provincia;prop2d
2020-03-10;15;151;NA
2020-03-11;15;151;NA
2020-03-12;15;151;NA
2020-03-13;15;151;NA
2020-03-14;15;151;NA
2020-03-15;15;151;NA
2020-03-16;15;151;NA
2020-03-17;15;151;NA
2020-03-18;15;151;NA
2020-03-19;15;151;NA
2020-03-20;15;151;NA
2020-03-21;15;151;NA
2020-03-22;15;151;NA
2020-03-23;15;151;NA
2020-03-24;15;151;NA
2020-03-25;15;151;NA
2020-03-26;15;151;NA
2020-03-27;15;151;0.363095238095238
2020-03-28;15;151;0.220238095238095
2020-03-29;15;151;0.201190476190476
2020-03-30;15;151;0.244047619047619
2020-03-31;15;151;0.31547619047619
2020-04-01;15;151;0.267857142857143
2020-04-02;15;151;0.293650793650794
2020-04-03;15;151;0.317460317460317
2020-04-04;15;151;0.379960317460317
2020-04-05;15;151;0.414880952380952
2020-04-06;15;151;0.49702380952381
2020-04-07;15;151;0.552579365079365
2020-04-08;15;151;0.609126984126984
2020-04-09;15;151;0.601190476190476
2020-04-10;15;151;0.56547619047619
2020-04-11;15;151;0.538690476190476
2020-04-12;15;151;0.536422902494331
2020-04-13;15;151;0.447137188208617
2020-04-14;15;151;0.32015306122449
2020-04-15;15;151;0.263605442176871
2020-04-16;15;151;0.192176870748299
2020-04-17;15;151;0.238095238095238
2020-04-18;15;151;0.238095238095238
2020-04-19;15;151;0.267779839208411
2020-04-20;15;151;0.329809914396381
2020-04-21;15;151;0.472667057253523
2020-04-22;15;151;0.525780610367077
2020-04-23;15;151;0.611494896081362
2020-04-24;15;151;0.565576528734423
2020-04-25;15;151;0.631903059346668
2020-04-26;15;151;0.643034784764108
2020-04-27;15;151;0.631004709576138
2020-04-28;15;151;0.605030683602112
2020-04-29;15;151;0.64239332096475
2020-04-30;15;151;0.597495361781076
2020-05-01;15;151;0.585590599876314
2020-05-02;15;151;0.483549783549784
2020-05-03;15;151;0.452937538651824
2020-05-04;15;151;0.414842300556586
2020-05-05;15;151;0.333673469387755
2020-05-06;15;151;0.29875283446712
2020-05-07;15;151;0.400793650793651
2020-05-08;15;151;0.472222222222222
2020-05-09;15;151;0.500793650793651
2020-05-10;15;151;0.461111111111111
2020-05-11;15;151;0.447105508870215
2020-05-12;15;151;0.447105508870215
2020-05-13;15;151;0.408556756035748
2020-05-14;15;151;0.392683740162732
2020-05-15;15;151;0.411731359210351
2020-05-16;15;151;0.478398025877017
2020-05-17;15;151;0.545553093032085
2020-05-18;15;151;0.559558695272981
2020-05-19;15;151;0.598674341531484
2020-05-20;15;151;0.588470259898831
2020-05-21;15;151;0.529155305847035
2020-05-22;15;151;0.482896802445675
2020-05-23;15;151;0.470992040540913
2020-05-24;15;151;0.479233798782671
2020-05-25;15;151;0.487170306719179
2020-05-26;15;151;0.473564864542308
2020-05-27;15;151;0.517026693718423
2020-05-28;15;151;0.532064287703385
2020-05-29;15;151;0.521179933961889
2020-05-30;15;151;0.539887416955086
2020-05-31;15;151;0.5041731312408
2020-06-01;15;151;0.531474718542388
2020-06-02;15;151;0.555964514460755
2020-06-03;15;151;0.560708174376829
2020-06-04;15;151;0.558953788411916
2020-06-05;15;151;0.578734008192136
2020-06-06;15;151;0.559399958782899
2020-06-07;15;151;0.556754456137396
2020-06-08;15;151;0.549294138677079
2020-06-09;15;151;0.574178931303807
2020-06-10;15;151;0.598932625885088
2020-06-11;15;151;0.58083738778985
2020-06-12;15;151;0.563027611359384
2020-06-13;15;151;0.572384336505582
2020-06-14;15;151;0.606775870897117
2020-06-15;15;151;0.62979174391299
2020-06-16;15;151;0.600273746653057
2020-06-17;15;151;0.598084806560891
2020-06-18;15;151;0.626497504973589
2020-06-19;15;151;0.668574680671455
2020-06-20;15;151;0.605922953313845
2020-06-21;15;151;0.583105492996385
2020-06-22;15;151;0.556121366012258
2020-06-23;15;151;0.5601466679099
2020-06-24;15;151;0.552360238543938
2020-06-25;15;151;0.522778708962408
2020-06-26;15;151;0.489911214138392
2020-06-27;15;151;0.548218747678124
2020-06-28;15;151;0.542037428996805
2020-06-29;15;151;0.547020817701124
2020-06-30;15;151;0.548649128599951
2020-07-01;15;151;0.546570926629508
2020-07-02;15;151;0.561073091131673
2020-07-03;15;151;0.539548139321863
2020-07-04;15;151;0.534246423493832
2020-07-05;15;151;0.543587082834491
2020-07-06;15;151;0.520956635306642
2020-07-07;15;151;0.505650512857663
2020-07-08;15;151;0.50987733656587
2020-07-09;15;151;0.522122234525053
2020-07-10;15;151;0.540364855374907
2020-07-11;15;151;0.520665042992168
2020-07-12;15;151;0.526224189727785
2020-07-13;15;151;0.543871248551315
2020-07-14;15;151;0.52235661860295
2020-07-15;15;151;0.500735926970215
2020-07-16;15;151;0.493933205881779
2020-07-17;15;151;0.487277648642977
2020-07-18;15;151;0.485380246359195
2020-07-19;15;151;0.475251984528147
2020-07-20;15;151;0.473019841671004
2020-07-21;15;151;0.492071417432177
2020-07-22;15;151;0.45933594623788
2020-07-23;15;151;0.414333329806692
2020-07-24;15;151;0.405398786089539
2020-07-25;15;151;0.404486252439861
2020-07-26;15;151;0.390914186682247
2020-07-27;15;151;0.385071795377899
2020-07-28;15;151;0.389575665891622
2020-07-29;15;151;0.419615719296161
2020-07-30;15;151;0.450446000126442
2020-07-31;15;151;0.487514565364021
2020-08-01;15;151;0.475225778881686
2020-08-02;15;151;0.490333373602554
2020-08-03;15;151;0.50419941355555
2020-08-04;15;151;0.511375187090771
2020-08-05;15;151;0.524453657915721
2020-08-06;15;151;0.531527501946086
2020-08-07;15;151;0.498229675773364
2020-08-08;15;151;0.536324913868602
2020-08-09;15;151;0.534923649137357
2020-08-10;15;151;0.51744383165754
2020-08-11;15;151;0.49837502504702
2020-08-12;15;151;0.511270580196096
2020-08-13;15;151;0.518369071766638
2020-08-14;15;151;0.550862068965517
2020-08-15;15;151;0.517625917362019
2020-08-16;15;151;0.528923293455313
2020-08-17;15;151;0.534659224191244
2020-08-18;15;151;0.560802167757055
2020-08-19;15;151;0.557476225406722
2020-08-20;15;151;0.559877185790876
2020-08-21;15;151;0.538788750416726
2020-08-22;15;151;0.574545910423586
2020-08-23;15;151;0.565799554738455
2020-08-24;15;151;0.588758738411924
2020-08-25;15;151;0.5758693721391
2020-08-26;15;151;0.561526936355938
2020-08-27;15;151;0.576394421811658
2020-08-28;15;151;0.555246832341088
2020-08-29;15;151;0.544562558631604
2020-08-30;15;151;0.531712974353448
2020-08-31;15;151;0.511134743060931
2020-09-01;15;151;0.528741785878058
2020-09-02;15;151;0.511119367851191
2020-09-03;15;151;0.481815338547162
2020-09-04;15;151;0.494086206597457
2020-09-05;15;151;0.461433145372967
2020-09-06;15;151;0.43907864801847
2020-09-07;15;151;0.428972265039747
2020-09-08;15;151;0.386535290249831
2020-09-09;15;151;0.408167331372127
2020-09-10;15;151;0.375607298812094
2020-09-11;15;151;0.364193145261691
2020-09-12;15;151;0.354044220827053
2020-09-13;15;151;0.335265418983735
2020-09-14;15;151;0.331568713159369
2020-09-15;15;151;0.314535746126402
2020-09-16;15;151;0.271608230292483
2020-09-17;15;151;0.254979356520752
2020-09-18;15;151;0.249105919612832
2020-09-19;15;151;0.238987426735718
2020-09-20;15;151;0.275853786182723
2020-09-21;15;151;0.27259338292232
2020-09-22;15;151;0.296769207098144
2020-09-23;15;151;0.335784813340641
2020-09-24;15;151;0.394741729440414
2020-09-25;15;151;0.418936832582886
2020-09-26;15;151;0.465734862139536
2020-09-27;15;151;0.502601221586541
2020-09-28;15;151;0.559624282383186
2020-09-29;15;151;0.597719520478424
2020-09-30;15;151;0.600836896461076
2020-10-01;15;151;0.6257189213431
2020-10-02;15;151;0.615693858686459
2020-10-03;15;151;0.644651387643988
2020-10-04;15;151;0.64766450356033
